model,tool,file,status,properties,limitations
M3,AVISPA,avispa_models/M3_certificateless_AKA.hlpsl,NOT_EXECUTED,source port only; no local backend result,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. KGC material public token abstraction; no local AVISPA backend result counted
M3,Scyther,scyther_models/M3_certificateless_AKA.spdl,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. KGC material public token abstraction
M4,ProVerif,M4_blockchain_pseudonym.pv,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no timing unlinkability or BFT
M4,Tamarin,tamarin_models/M4_blockchain_pseudonym_abstract.spthy,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no observational equivalence
M4,AVISPA,avispa_models/M4_blockchain_pseudonym_abstract.hlpsl,NOT_EXECUTED,source port only; no local backend result,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no anonymity or ledger consistency; no local AVISPA backend result counted
M4,Scyther,scyther_models/M4_blockchain_pseudonym_abstract.spdl,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no anonymity or ledger consistency
M5,ProVerif,M5_PUF_keyestab.pv,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no PUF noise or modeling attack probability
M5,Tamarin,tamarin_models/M5_PUF_keyestab_abstract.spthy,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no PUF noise/helper data
M5,AVISPA,avispa_models/M5_PUF_keyestab_abstract.hlpsl,NOT_EXECUTED,source port only; no local backend result,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no PUF physics; no local AVISPA backend result counted
M5,Scyther,scyther_models/M5_PUF_keyestab_abstract.spdl,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no PUF physics
M6,ProVerif,M6_anonymous_ZKP.pv,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no concrete ZK soundness or CRS model
M6,Tamarin,tamarin_models/M6_anonymous_ZKP_abstract.spthy,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no ZK soundness or unlinkability
M6,AVISPA,avispa_models/M6_anonymous_ZKP_abstract.hlpsl,NOT_EXECUTED,source port only; no local backend result,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no ZK soundness or anonymity; no local AVISPA backend result counted
M6,Scyther,scyther_models/M6_anonymous_ZKP_abstract.spdl,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no ZK soundness or anonymity
