paper_id,ref_number,title,mechanism_family,verification_level,security_properties_coded,reported_research_tools,evidence_types,gap_flags,uncertain_reason,published_protocol_reverification_use,quality_score
P113,42,Blockchain-Based Cross-Domain Authentication With Dynamic Domain Participation in IoT,Ledger-mediated trust,E,yes,informal_security_analysis; performance_comparison; simulation,informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P159,43,An Efficient Consensus Algorithm for Blockchain-Based Cross-Domain Authentication in Bandwidth-Constrained Wide-Area IoT Networks,Ledger-mediated trust,C,yes,BAN_logic; informal_security_analysis; formal_proof; performance_comparison; simulation,BAN logic; formal proof; informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P168,44,BLECA A Blockchain-Based Lightweight and Efficient Cross-Domain Authentication Scheme for Smart Parks,Ledger-mediated trust,E,yes,informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P201,45,Hybrid blockchain-based many-to-many cross-domain authentication scheme for smart agriculture IoT networks,Certificateless split-key,D,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform,informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P116,46,Bridge of Trust Cross Domain Authentication for Industrial Internet of Things (IIoT) Blockchain over Transport Layer Security (TLS),Ledger-mediated trust,D,yes,informal_security_analysis; simulation,informal security analysis; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P102,47,CCAP A Complete Cross-Domain Authentication Based on Blockchain for Internet of Things,Ledger-mediated trust,E,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform,informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; storage/on-chain overhead; centralized trust or key escrow; formal model gap,,selected,not assigned; evidence appraisal is descriptive
P185,48,Cross-domain secure communication scheme in industrial internet of things based on consortium blockchain,Ledger-mediated trust,A,yes,ProVerif; informal_security_analysis; performance_comparison; simulation; blockchain_platform,ProVerif; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P193,49,Efficient and Anonymous Cross-Domain Authentication for IIoT Based on Blockchain,Ledger-mediated trust,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P153,50,A Privacy-Preserving Cross-Domain Authentication and Key Agreement Scheme via Multiblockchains for Smart Cities,Ledger-mediated trust,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P112,51,Authentication Technology in Internet of Things and Privacy Security Issues in Typical Application Scenarios,Ledger-mediated trust,E,yes,BAN_logic; ProVerif; AVISPA; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,BAN logic; ProVerif; AVISPA; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P132,52,A Blockchain-Based Multi-CA Cross-Domain Authentication Scheme in Decentralized Autonomous Network,Ledger-mediated trust,C,yes,BAN_logic; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,BAN logic; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P223,53,Secure Cross-Domain Authentication and Data Sharing Scheme for IIoT in Cloud-Fog Automation Architecture,Ledger-mediated trust,B,yes,informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P191,54,Dynamic Time-Bound Anonymous Complete Cross-Domain Authentication Scheme for IoT,Ledger-mediated trust,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P136,55,A Certificateless-Based Authentication and Key Agreement Scheme for IIoT Cross-Domain,Ledger-mediated trust,A,yes,RoR_random_oracle; Tamarin; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; Tamarin; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,missing_abstract,selected,not assigned; evidence appraisal is descriptive
P051,56,DynaTrac A Decentralized Cross-Domain Authentication Framework With Dynamic Reputation Weighting and Accountable Tracing,Ledger-mediated trust,C,yes,BAN_logic; RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,BAN logic; RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow,,not selected,not assigned; evidence appraisal is descriptive
P161,57,BAT-CA A Blockchain-Based Anonymous and Traceable Cross-Domain Authentication Approach for Interner of Things,Ledger-mediated trust,E,yes,performance_comparison; simulation; blockchain_platform,performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P194,58,Efficient and Privacy-preserving Blockchain-based Multi-factor Device Authentication Protocol for Cross-domain IIoT,Ledger-mediated trust,C,no,BAN_logic; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,BAN logic; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P145,59,A Lightweight Authentication Scheme Based on Consortium Blockchain for Cross-Domain IoT,Ledger-mediated trust,D,yes,informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform; Hyperledger,formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P120,60,A Lightweight Authentication Method for Industrial Internet of Things Based on Blockchain and Chebyshev Chaotic Maps,Ledger-mediated trust,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform; Hyperledger,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P167,61,BEPHAP A Blockchain-based Efficient Privacy-Preserving Handover Authentication Protocol with key agreement for Internet of Vehicles,Ledger-mediated trust,A,yes,BAN_logic; RoR_random_oracle; ProVerif; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,BAN logic; RoR/random oracle; ProVerif; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P172,62,Blockchain-Based Certificate-Free Cross-Domain Authentication Mechanism for Industrial Internet,Ledger-mediated trust,A,yes,Scyther; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform; Ethereum_Ganache_Solidity,Scyther; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P183,63,Cross-domain identity authentication scheme based on blockchain and PKI system,Ledger-mediated trust,E,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform,informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P213,64,Optimizing Scalable Storage for Blockchain-Based IoT Cross-Domain Authentication,Ledger-mediated trust,E,yes,performance_comparison; simulation,performance comparison; prototype/simulation,privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,missing_method_excerpt,not selected,not assigned; evidence appraisal is descriptive
P222,65,SE-CAS Secure and Efficient Cross-Domain Authentication Scheme Based on Blockchain for Space TT&C Networks,Ledger-mediated trust,D,yes,AVISPA; informal_security_analysis; performance_comparison; simulation,AVISPA; informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow,,not selected,not assigned; evidence appraisal is descriptive
P125,66,Split-Chain-Based Efficient Blockchain-Assisted Cross-Domain Authentication for IoT,Ledger-mediated trust,E,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform; Hyperledger,informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow,,not selected,not assigned; evidence appraisal is descriptive
P221,67,Scalable Storage Optimization for Blockchain-Based Cross-Domain Authentication in IoT,Ledger-mediated trust,D,no,informal_security_analysis; performance_comparison; simulation,informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P187,68,Distributed Cross-Domain Anonymous Authentication Scheme in Internet of Things,Other/classical-general,D,yes,informal_security_analysis; performance_comparison; simulation,informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P124,69,Research on an Efficient Cross-Domain Authentication Scheme that is Based on Blockchain and Edge Computing,Certificateless split-key,E,yes,informal_security_analysis; formal_proof; performance_comparison; simulation,formal proof; informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P175,70,Blockchain-based lightweight trusted data interaction scheme for cross-domain IIoT,Ledger-mediated trust,D,yes,informal_security_analysis; simulation; blockchain_platform; Hyperledger,informal security analysis; prototype/simulation; blockchain platform,privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P174,71,Blockchain-Based Lightweight Message Authentication for Edge-Assisted Cross-Domain Industrial Internet of Things,Ledger-mediated trust,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; resource-constrained deployment; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P133,72,A Blockchain-Based Mutual Authentication Scheme for Collaborative Edge Computing,Certificateless split-key,E,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform,informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P109,73,A Lightweight Group Authentication Framework for Cross-Domain Internet of Things,Ledger-mediated trust,B,yes,informal_security_analysis; performance_comparison; simulation,informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; scalability and throughput; resource-constrained deployment; centralized trust or key escrow,,not selected,not assigned; evidence appraisal is descriptive
P118,74,Efficient Blockchain-Based Mutual Authentication and Session Key Agreement for Cross-Domain IIoT,Ledger-mediated trust,A,yes,BAN_logic; RoR_random_oracle; ProVerif; Scyther; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,BAN logic; RoR/random oracle; ProVerif; Scyther; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P195,75,Efficient hybrid centralized and blockchain-based authentication architecture for heterogeneous IoT systems,Ledger-mediated trust,E,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform; Ethereum_Ganache_Solidity,informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow,borderline_review_needed; missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P166,76,BCPPAS Blockchain-Based Cross-Domain Identity Authentication Scheme for IoT with Privacy Protection,Certificateless split-key,D,yes,formal_proof; performance_comparison; simulation; blockchain_platform,formal proof; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow,,not selected,not assigned; evidence appraisal is descriptive
P162,77,BCAE A Blockchain-Based Cross Domain Authentication Scheme for Edge Computing,Ledger-mediated trust,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; resource-constrained deployment; centralized trust or key escrow; formal model gap,,selected,not assigned; evidence appraisal is descriptive
P179,78,BTAA Blockchain and TEE-Assisted Authentication for IoT Systems,Hardware-/device-rooted,D,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow,,not selected,not assigned; evidence appraisal is descriptive
P131,79,A Blockchain-Based Cross-Domain Data Transmission Scheme for Industrial Internet of Things With Edge-Cloud Computing,Ledger-mediated trust,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P135,80,A Certificateless Anonymous Cross-Domain Authentication Scheme Assisted by Blockchain for Internet of Vehicles,Certificateless split-key,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P190,81,Dynamic Authentication and Granularized Authorization With Cross-Domain Zero Trust Architecture in Large-Scale IoT Networks,Other/classical-general,D,yes,performance_comparison; simulation,performance comparison; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P150,82,A New Identity Authentication and Key Agreement Protocol Based on Multi-Layer Blockchain in Edge Computing,Ledger-mediated trust,A,yes,RoR_random_oracle; Scyther; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; Scyther; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P211,83,LRCDA A Lightweight and Reusable Cross-Domain Authentication Scheme for Industrial IoT Based on Distributed Architecture,Other/classical-general,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P192,84,ECroA Efficient Cross-Domain Authentication in Dynamic Digital Twins of Wireless Industrial IoT,Ledger-mediated trust,A,yes,Scyther; informal_security_analysis; performance_comparison; simulation; blockchain_platform,Scyther; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P137,85,A Cross-domain Authentication Scheme Based on Blockchain and Edge Computing,Ledger-mediated trust,E,yes,informal_security_analysis; performance_comparison; simulation,informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P142,86,A highly reliable cross-domain identity authentication protocol based on blockchain in edge computing environment,Ledger-mediated trust,C,yes,BAN_logic; informal_security_analysis; performance_comparison; simulation; blockchain_platform; Hyperledger,BAN logic; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P208,87,Lightweight Cross-Domain Authentication Scheme for Securing Wireless IoT Devices Using Backscatter Communication,Other/classical-general,E,yes,informal_security_analysis; performance_comparison; simulation,informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P210,88,LightweightAttribute-BasedCross-Domain AuthenticationforPowerIoT withEdgeComputingIntegration,Other/classical-general,B,yes,formal_proof; simulation,formal proof; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P217,89,Research on Secure Authentication and Access Control for Device Access Based on Distributed Architecture,Zero-knowledge/privacy credential,E,yes,performance_comparison; simulation; blockchain_platform,performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P196,90,Efficient Provably Secure Authentication Protocol for Multidomain IIoT Using a Combined Off-Chain and On-Chain Approach,Ledger-mediated trust,A,yes,ProVerif; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,ProVerif; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; storage/on-chain overhead; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P117,91,Chebyshev Polynomial and Private Blockchain Based Cross-Domain Authentication Protocol for IoD Networks,Hardware-/device-rooted,A,yes,AVISPA; informal_security_analysis; performance_comparison; simulation,AVISPA; informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P165,92,BCPA A Blockchain-Based Cross-Domain Privacy-Preserving Authentication Scheme in Internet of Things Environments,Hardware-/device-rooted,A,yes,RoR_random_oracle; AVISPA; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; AVISPA; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P188,93,DKGAuth Blockchain-Assisted Distributed Key Generation and Authentication for Cross-Domain Intelligent IoT,Ledger-mediated trust,E,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform,informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; post-quantum migration; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
