paper_id,ref_number,title,doi,mechanism_family,deployment_crosscutting_facets,verification_level,properties,year,year_group,venue_tier,scope_status,mechanism_source,correction_reason
P176,39,Blockchain-Empowered Decentralized Horizontal Federated Learning for 5G-Enabled UAVs,10.1109/tii.2021.3116132,Ledger-mediated trust,ledger-present,E,,2021,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P173,40,Blockchain-Based Cross-Domain Authentication for Intelligent 5G-Enabled Internet of Drones,10.1145/3477090.3481053,Ledger-mediated trust,ledger-present,E,MA; SK; AN; Replay; MITM; Imp; Rev,2021,2021-2023,conference / proceedings,included_primary,carried from nine-class full-text coding,
P200,41,Federated Hierarchical Trust-Based Interaction Scheme for Cross-Domain Industrial IoT,10.1109/jiot.2022.3200854,Ledger-mediated trust,ledger-present; multi-ledger,E,MA; AN,2022,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P113,42,Blockchain-Based Cross-Domain Authentication With Dynamic Domain Participation in IoT,10.1109/jiot.2024.3486331,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,E,AN; Rev,2024,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P159,43,An Efficient Consensus Algorithm for Blockchain-Based Cross-Domain Authentication in Bandwidth-Constrained Wide-Area IoT Networks,10.1109/jiot.2024.3420719,Ledger-mediated trust,ledger-present; multi-ledger,C,MA; SK; AN; Replay; MITM,2024,2024-2026,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),
P168,44,BLECA A Blockchain-Based Lightweight and Efficient Cross-Domain Authentication Scheme for Smart Parks,10.32604/cmc.2023.041676,Ledger-mediated trust,ledger-present,E,MA; SK; PFS; Replay; MITM; Rev,2023,2021-2023,other journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->other journal)
P201,45,Hybrid blockchain-based many-to-many cross-domain authentication scheme for smart agriculture IoT networks,10.1016/j.jksuci.2024.101946,Certificateless split-key,ledger-present; multi-ledger; privacy/anonymity-layer,D,MA; SK; PFS; AN; Replay; MITM; Imp; Rev,2024,2024-2026,other journal,included_primary,full-text adjudication 20260712 (quote on file),
P116,46,Bridge of Trust Cross Domain Authentication for Industrial Internet of Things (IIoT) Blockchain over Transport Layer Security (TLS),10.3390/electronics12112401,Ledger-mediated trust,ledger-present,D,MA; SK; PFS; Replay; MITM; Rev,2023,2021-2023,other journal,included_primary,carried from nine-class full-text coding,
P102,47,CCAP A Complete Cross-Domain Authentication Based on Blockchain for Internet of Things,10.1109/tifs.2022.3214733,Ledger-mediated trust,ledger-present,E,AN; Replay; MITM; Rev,2022,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P185,48,Cross-domain secure communication scheme in industrial internet of things based on consortium blockchain,10.1007/s12083-025-02055-z,Ledger-mediated trust,ledger-present,A,MA; SK; AN; UL; Replay; Imp,2025,2024-2026,other journal,included_primary,carried from nine-class full-text coding,
P193,49,Efficient and Anonymous Cross-Domain Authentication for IIoT Based on Blockchain,10.1109/tnse.2022.3224453,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,B,MA; SK; PFS; AN; UL; Replay; MITM; Imp; Rev,2022,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P153,50,A Privacy-Preserving Cross-Domain Authentication and Key Agreement Scheme via Multiblockchains for Smart Cities,10.1109/jiot.2025.3607798,Ledger-mediated trust,ledger-present; multi-ledger; privacy/anonymity-layer,B,MA; SK; AN; UL; Replay; MITM; Imp; Rev,2025,2024-2026,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),
P112,51,Authentication Technology in Internet of Things and Privacy Security Issues in Typical Application Scenarios,10.3390/electronics12081812,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,E,MA; SK; AN; UL; Replay; MITM; Rev,2023,2021-2023,other journal,included_primary,carried from nine-class full-text coding,
P132,52,A Blockchain-Based Multi-CA Cross-Domain Authentication Scheme in Decentralized Autonomous Network,10.1109/tnsm.2022.3180357,Ledger-mediated trust,ledger-present,C,MA; SK; AN; Replay; MITM; Rev,2022,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P223,53,Secure Cross-Domain Authentication and Data Sharing Scheme for IIoT in Cloud-Fog Automation Architecture,10.1109/jsac.2025.3574606,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer,B,MA; SK; PFS; AN; MITM; Imp,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final evidence reassessment 20260720 (E->B)
P191,54,Dynamic Time-Bound Anonymous Complete Cross-Domain Authentication Scheme for IoT,10.1109/ton.2025.3635736,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,B,MA; SK; PFS; AN; UL; Replay; MITM; Imp; Rev,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P136,55,A Certificateless-Based Authentication and Key Agreement Scheme for IIoT Cross-Domain,10.1155/2022/3693748,Ledger-mediated trust,ledger-present,A,MA; SK; AN; Replay; MITM,2022,2021-2023,other journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->other journal)
P051,56,DynaTrac A Decentralized Cross-Domain Authentication Framework With Dynamic Reputation Weighting and Accountable Tracing,10.1109/jiot.2025.3588990,Ledger-mediated trust,ledger-present,C,MA; AN; Replay; MITM; Rev,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P161,57,BAT-CA A Blockchain-Based Anonymous and Traceable Cross-Domain Authentication Approach for Interner of Things,10.1109/WCNC61545.2025.10978745,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer,E,AN,2025,2024-2026,conference / proceedings,included_primary,carried from nine-class full-text coding,
P194,58,Efficient and Privacy-preserving Blockchain-based Multi-factor Device Authentication Protocol for Cross-domain IIoT,10.1109/JIOT.2022.3176192,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,C,,2022,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P145,59,A Lightweight Authentication Scheme Based on Consortium Blockchain for Cross-Domain IoT,10.1155/2022/9686049,Ledger-mediated trust,ledger-present; multi-ledger,D,MA; SK; AN; Replay; MITM; Rev,2022,2021-2023,other journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->other journal)
P120,60,A Lightweight Authentication Method for Industrial Internet of Things Based on Blockchain and Chebyshev Chaotic Maps,10.3390/fi17080338,Ledger-mediated trust,ledger-present,B,MA; SK; PFS; AN; UL; KCI; Replay; MITM; Imp; Rev,2025,2024-2026,other journal,included_primary,carried from nine-class full-text coding,
P167,61,BEPHAP A Blockchain-based Efficient Privacy-Preserving Handover Authentication Protocol with key agreement for Internet of Vehicles,10.1016/j.sysarc.2023.102869,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,A,MA; SK; AN; UL; Replay; MITM; Imp; Rev,2023,2021-2023,other journal,included_primary,carried from nine-class full-text coding,
P172,62,Blockchain-Based Certificate-Free Cross-Domain Authentication Mechanism for Industrial Internet,10.1109/jiot.2023.3296506,Ledger-mediated trust,ledger-present,A,MA; SK; PFS; AN; Replay; MITM; Imp,2023,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P183,63,Cross-domain identity authentication scheme based on blockchain and PKI system,10.1016/j.hcc.2022.100096,Ledger-mediated trust,ledger-present,E,AN; Replay; MITM; Rev,2022,2021-2023,other journal,included_primary,carried from nine-class full-text coding,
P213,64,Optimizing Scalable Storage for Blockchain-Based IoT Cross-Domain Authentication,10.1109/CIoTSC67482.2025.11413127,Ledger-mediated trust,ledger-present,E,Rev,2025,2024-2026,conference / proceedings,included_primary,carried from nine-class full-text coding,
P222,65,SE-CAS Secure and Efficient Cross-Domain Authentication Scheme Based on Blockchain for Space TT&C Networks,10.1109/jiot.2024.3401178,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,D,MA; SK; PFS; AN; MITM; Rev,2024,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P125,66,Split-Chain-Based Efficient Blockchain-Assisted Cross-Domain Authentication for IoT,10.1109/tnsm.2024.3379587,Ledger-mediated trust,ledger-present; multi-ledger,E,AN; UL; MITM; Imp; Rev,2024,2024-2026,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P221,67,Scalable Storage Optimization for Blockchain-Based Cross-Domain Authentication in IoT,10.1109/tnsm.2025.3591086,Ledger-mediated trust,ledger-present,D,,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P187,68,Distributed Cross-Domain Anonymous Authentication Scheme in Internet of Things,10.1109/jiot.2025.3555770,Other/classical-general,no-ledger; distributed-threshold; privacy/anonymity-layer,D,MA; SK; AN,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,The proposed DCA uses threshold secret sharing and bilinear verification; KGC/certificateless/blockchain passages describe prior work.
P124,69,Research on an Efficient Cross-Domain Authentication Scheme that is Based on Blockchain and Edge Computing,10.1007/978-981-95-5294-8_37,Certificateless split-key,ledger-present; edge/fog-mediated; privacy/anonymity-layer,E,MA; SK; AN; Replay; Rev,2026,2024-2026,conference / proceedings,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (other journal->conference / proceedings)
P175,70,Blockchain-based lightweight trusted data interaction scheme for cross-domain IIoT,10.1016/j.dcan.2024.11.018,Ledger-mediated trust,ledger-present; edge/fog-mediated,D,MA; SK; AN; Replay; MITM,2024,2024-2026,other journal,included_primary,full-text adjudication 20260712 (quote on file),
P174,71,Blockchain-Based Lightweight Message Authentication for Edge-Assisted Cross-Domain Industrial Internet of Things,10.1109/tdsc.2023.3285800,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer,B,AN; UL; Replay; Imp; Rev,2023,2021-2023,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P133,72,A Blockchain-Based Mutual Authentication Scheme for Collaborative Edge Computing,10.1109/tcss.2021.3056540,Certificateless split-key,ledger-present; edge/fog-mediated; privacy/anonymity-layer,E,MA; SK; AN; Replay; MITM; Rev,2021,2021-2023,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P109,73,A Lightweight Group Authentication Framework for Cross-Domain Internet of Things,10.1007/978-3-031-94458-1_2,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer,B,MA; SK; Replay; Rev,2026,2024-2026,conference / proceedings,included_primary,carried from nine-class full-text coding,final evidence reassessment 20260720 (E->B); final venue-type normalization 20260720 (other journal->conference / proceedings)
P118,74,Efficient Blockchain-Based Mutual Authentication and Session Key Agreement for Cross-Domain IIoT,10.1109/jiot.2024.3351892,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer,A,MA; SK; PFS; AN; UL; Replay; MITM; Imp; Rev,2024,2024-2026,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),
P195,75,Efficient hybrid centralized and blockchain-based authentication architecture for heterogeneous IoT systems,10.1016/j.jksuci.2023.01.011,Ledger-mediated trust,ledger-present; edge/fog-mediated,E,Replay; MITM; Imp,2023,2021-2023,other journal,included_primary,full-text adjudication 20260712 (quote on file),
P166,76,BCPPAS Blockchain-Based Cross-Domain Identity Authentication Scheme for IoT with Privacy Protection,10.1109/CSCWD64889.2025.11033242,Certificateless split-key,ledger-present; edge/fog-mediated; privacy/anonymity-layer,D,MA; AN,2025,2024-2026,conference / proceedings,included_primary,carried from nine-class full-text coding,
P162,77,BCAE A Blockchain-Based Cross Domain Authentication Scheme for Edge Computing,10.1109/jiot.2024.3387934,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer,B,MA; SK; PFS; AN; Replay; Rev,2024,2024-2026,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),
P179,78,BTAA Blockchain and TEE-Assisted Authentication for IoT Systems,10.1109/jiot.2023.3252565,Hardware-/device-rooted,ledger-present; edge/fog-mediated; privacy/anonymity-layer,D,SK; AN,2023,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P131,79,A Blockchain-Based Cross-Domain Data Transmission Scheme for Industrial Internet of Things With Edge-Cloud Computing,10.1109/tsc.2025.3603155,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer,B,MA; SK; PFS; AN; UL; Replay; MITM; Imp; Rev,2025,2024-2026,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P135,80,A Certificateless Anonymous Cross-Domain Authentication Scheme Assisted by Blockchain for Internet of Vehicles,10.1155/2022/3488977,Certificateless split-key,ledger-present; edge/fog-mediated; privacy/anonymity-layer,B,MA; AN; UL; Replay; MITM; Imp; Rev,2022,2021-2023,other journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->other journal)
P190,81,Dynamic Authentication and Granularized Authorization With Cross-Domain Zero Trust Architecture in Large-Scale IoT Networks,10.1109/tnse.2025.3650377,Other/classical-general,ledger-present; edge/fog-mediated,D,MA; AN,2026,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P150,82,A New Identity Authentication and Key Agreement Protocol Based on Multi-Layer Blockchain in Edge Computing,10.1109/access.2023.3347808,Ledger-mediated trust,ledger-present; multi-ledger; edge/fog-mediated; privacy/anonymity-layer,A,MA; SK; AN; Replay; MITM; Rev,2023,2021-2023,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),
P211,83,LRCDA A Lightweight and Reusable Cross-Domain Authentication Scheme for Industrial IoT Based on Distributed Architecture,10.1109/jiot.2025.3635817,Other/classical-general,edge/fog-mediated; no-ledger,B,MA; SK; PFS; AN; UL; Replay; MITM; Imp; Rev,2025,2024-2026,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),
P192,84,ECroA Efficient Cross-Domain Authentication in Dynamic Digital Twins of Wireless Industrial IoT,10.1109/jsac.2026.3669135,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer,A,SK; AN; UL; Replay; MITM; Imp; Rev,2026,2024-2026,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),
P137,85,A Cross-domain Authentication Scheme Based on Blockchain and Edge Computing,10.1109/jiot.2020.2999510,Ledger-mediated trust,ledger-present; multi-ledger; edge/fog-mediated; privacy/anonymity-layer,E,MA; SK; AN; UL; Replay; MITM; Rev,2024,2024-2026,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),
P142,86,A highly reliable cross-domain identity authentication protocol based on blockchain in edge computing environment,10.1109/CSCWD54268.2022.9776072,Ledger-mediated trust,ledger-present; edge/fog-mediated,C,MA; AN; Replay; Imp,2022,2021-2023,conference / proceedings,included_primary,full-text adjudication 20260712 (quote on file),
P208,87,Lightweight Cross-Domain Authentication Scheme for Securing Wireless IoT Devices Using Backscatter Communication,10.1109/jiot.2024.3378476,Other/classical-general,edge/fog-mediated; privacy/anonymity-layer; no-ledger,E,PFS; AN; Replay; MITM,2024,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P210,88,LightweightAttribute-BasedCross-Domain AuthenticationforPowerIoT withEdgeComputingIntegration,10.13052/jcsm2245-1439.1522,Other/classical-general,ledger-present; edge/fog-mediated,B,PFS; Replay; Rev,2026,2024-2026,other journal,included_primary,carried from nine-class full-text coding,final evidence reassessment 20260720 (E->B); final venue-type normalization 20260720 (conference / proceedings->other journal)
P217,89,Research on Secure Authentication and Access Control for Device Access Based on Distributed Architecture,10.1109/CAIBDA65784.2025.11183375,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer,E,Replay; MITM; Rev,2025,2024-2026,conference / proceedings,included_primary,carried from nine-class full-text coding,
P196,90,Efficient Provably Secure Authentication Protocol for Multidomain IIoT Using a Combined Off-Chain and On-Chain Approach,10.1109/jiot.2023.3347677,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,A,MA; SK; PFS; AN; UL; Replay; Rev,2023,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P117,91,Chebyshev Polynomial and Private Blockchain Based Cross-Domain Authentication Protocol for IoD Networks,10.1109/CCNC51664.2024.10454702,Hardware-/device-rooted,ledger-present; privacy/anonymity-layer,A,MA; SK; AN; Replay; MITM; Imp; Rev,2024,2024-2026,conference / proceedings,included_primary,carried from nine-class full-text coding,
P165,92,BCPA A Blockchain-Based Cross-Domain Privacy-Preserving Authentication Scheme in Internet of Things Environments,10.1109/jiot.2025.3601211,Hardware-/device-rooted,ledger-present; privacy/anonymity-layer,A,MA; SK; PFS; AN; UL; Replay; MITM; Rev,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P188,93,DKGAuth Blockchain-Assisted Distributed Key Generation and Authentication for Cross-Domain Intelligent IoT,10.1109/jiot.2024.3379310,Ledger-mediated trust,ledger-present,E,MA; AN; UL; Replay; Rev,2024,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P123,94,Blockchain and PUF-based secure key establishment protocol for cross- domain digital twins in industrial Internet of Things architecture,10.1016/j.jare.2023.09.017,Hardware-/device-rooted,ledger-present; multi-ledger,E,MA; SK; PFS; AN; UL; Replay; Imp; Rev,2023,2021-2023,other journal,included_primary,carried from nine-class full-text coding,
P151,95,A Post-Quantum Secure Federated Learning Framework for Cross-Domain V2G Authentication,10.1109/tce.2025.3580338,Hardware-/device-rooted,ledger-present; edge/fog-mediated; privacy/anonymity-layer,A,MA; SK; PFS; AN; UL; Imp,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P206,96,LCH-AKA Identity Authentication and Key Agreement Scheme of Lightweight Cross-Domain Heterogeneous Network Based on PUF,10.1109/jiot.2025.3645889,Hardware-/device-rooted,ledger-present,A,MA; SK; PFS; AN; UL; Replay; MITM; Imp,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P204,97,LBCM A Scalable and DDoS-Resistant Cross-Domain Authentication Protocol for IIoT Using Chaotic Maps and Merkle Tree,10.1109/jiot.2026.3675667,Other/classical-general,ledger-present,A,MA; SK; PFS; AN; UL; Replay; MITM; Imp; Rev,2026,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P126,98,CD-AKA-IoV A Provably Secure Cross-Domain Authentication and Key Agreement Protocol for Internet of Vehicle,10.32604/cmc.2025.065560,Hardware-/device-rooted,ledger-present,A,MA; SK; PFS; AN; MITM; Imp,2025,2024-2026,other journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->other journal)
P205,99,LCDMA Lightweight Cross-Domain Mutual Identity Authentication Scheme for Internet of Things,10.1109/jiot.2023.3252051,Other/classical-general,ledger-present; privacy/anonymity-layer,B,MA; SK; PFS; AN; Replay; MITM; Imp,2023,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P207,100,Lightweight Blockchain-Enhanced Mutual Authentication Protocol for UAVs,10.1109/jiot.2023.3324543,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,B,MA; SK; AN; Replay; MITM; Imp; Rev,2023,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P158,101,An anonymous and efficient certificateless signature scheme based on blockchain in NDN-IoT environments,10.1002/ett.4979,Certificateless split-key,ledger-present; privacy/anonymity-layer,B,AN; Replay; MITM; Imp,2024,2024-2026,other journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->other journal)
P180,102,CABC A Cross-Domain Authentication Method Combining Blockchain with Certificateless Signature for IIoT☆,10.1016/j.future.2024.04.042,Certificateless split-key,ledger-present,B,MA; SK; AN; Replay; MITM; Rev,2024,2024-2026,other journal,included_primary,carried from nine-class full-text coding,
P122,103,LCC-AKA: Lightweight Certificateless Cross-Domain Authentication Key Agreement Protocol for IoT Devices,10.1016/j.comnet.2026.112018,Certificateless split-key,privacy/anonymity-layer; no-ledger,B,,2026,2024-2026,other journal,included_primary,carried from nine-class full-text coding,
P147,104,A Lightweight Cross-Domain Direct Identity Authentication Protocol for VANETs,10.1109/jiot.2024.3438257,Certificateless split-key,ledger-present; privacy/anonymity-layer,A,SK; AN; Replay; MITM; Imp; Rev,2024,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P171,105,Blockchain-Based C ertificateless Cross-Domain Authentication Scheme in the Industrial Internet of Things,10.32604/cmc.2024.053950,Certificateless split-key,ledger-present; privacy/anonymity-layer,D,MA; SK; PFS; AN; UL; Replay; MITM; Rev,2024,2024-2026,other journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->other journal)
P128,106,A Blockchain-Assisted Cross-Domain Authentication and Key Negotiation Scheme in IIoT,10.1109/access.2025.3565393,Ledger-mediated trust,ledger-present,C,MA; SK; PFS; AN; Replay; MITM; Rev,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P199,107,Enhance IoT Security A Blo ckchain and Chameleon Hashing-Based Scheme for Authentication,10.1007/978-981-96-0154-7_14,Certificateless split-key,ledger-present; privacy/anonymity-layer,C,MA; SK; AN; UL; Replay; MITM; Rev,2024,2024-2026,conference / proceedings,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (other journal->conference / proceedings)
P105,108,AAMB a cross-domain identity authentication scheme based on multilayered blockchains in IoMT,10.1007/s11227-025-07309-4,Ledger-mediated trust,ledger-present; multi-ledger; privacy/anonymity-layer,C,MA; SK; PFS; AN; UL; Replay; Imp; Rev,2025,2024-2026,other journal,included_primary,full-text adjudication 20260712 (quote on file),The proposed protocol gives the node a self-generated full key and accepts ledger-recorded credentials/accumulator proofs; no KGC partial-key plus user-secret construction is used.
P146,109,A Lightweight Blockchain-Based Cross-Domain Authentication and Data Sharing Scheme for the Industrial Internet of Things,10.7544/issn1000-1239.202550402,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,D,PFS; AN; UL; Rev,2025,2024-2026,other journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->other journal)
P177,110,Blockchain‑based cross‑ domain authentication in a multi‑ domain Internet of drones environment,10.1007/s11227-024-06447-5,Ledger-mediated trust,ledger-present,A,Imp; Rev,2024,2024-2026,other journal,included_primary,carried from nine-class full-text coding,
P219,111,Revocable Certificateless Cross-Domain Authentication Scheme Based on Primary–Secondary Blockchain,10.1109/tcss.2024.3378719,Certificateless split-key,ledger-present; multi-ledger,A,SK; AN; Replay; MITM; Rev,2024,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P220,112,S3 Cross Blockchain-Based Cross-Domain Authentication With Self-Sovereign and Supervised Identity Management,10.1109/tnsm.2025.3642315,Group-/ring-signature,ledger-present; multi-ledger,B,MA; SK; AN; Replay; MITM; Imp; Rev,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final evidence reassessment 20260720 (E->B); final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P181,113,CABR a cross-domain authentication method combines blockchain and ring signatures,10.1007/s10586-025-05421-x,Group-/ring-signature,ledger-present; edge/fog-mediated; privacy/anonymity-layer,E,AN; Replay; MITM; Rev,2025,2024-2026,other journal,included_primary,carried from nine-class full-text coding,
