paper_id,ref_number,title,research_scenario,domains,core_technology,relevance_status,primary_family,deployment_crosscutting_facets
P136,55,A Certificateless-Based Authentication and Key Agreement Scheme for IIoT Cross-Domain,IIoT; IoT_general; edge_fog_cloud,IIoT; IoT,blockchain_assisted; consortium_private_chain; certificateless_certificate_free; ECC; bilinear_pairing; hash_MAC,include_primary,Ledger-mediated trust,ledger-present
P051,56,DynaTrac A Decentralized Cross-Domain Authentication Framework With Dynamic Reputation Weighting and Accountable Tracing,IIoT; IoT_general; edge_fog_cloud,IIoT; IoT,blockchain_assisted; consortium_private_chain; PKI_CA; certificateless_certificate_free; zero_knowledge; dynamic_accumulator; identity_based_cryptography,include_primary,Ledger-mediated trust,ledger-present
P161,57,BAT-CA A Blockchain-Based Anonymous and Traceable Cross-Domain Authentication Approach for Interner of Things,IIoT; IoT_general; IoV_VANET; UAV_FANET_IoD; smart_city,IIoT; IoT; IoV/VANET; UAV/FANET/IoD; Smart city,blockchain_assisted; consortium_private_chain; PKI_CA; ECC; PUF; zero_knowledge; identity_based_cryptography,include_primary,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P194,58,Efficient and Privacy-preserving Blockchain-based Multi-factor Device Authentication Protocol for Cross-domain IIoT,IIoT; IoT_general; IoMT_healthcare,IIoT; IoT; Healthcare/IoMT,blockchain_assisted; smart_contract; ECC; PUF; dynamic_accumulator,include_primary,Ledger-mediated trust,ledger-present; privacy/anonymity-layer
P145,59,A Lightweight Authentication Scheme Based on Consortium Blockchain for Cross-Domain IoT,IIoT; IoT_general; IoV_VANET; IoMT_healthcare,IIoT; IoT; IoV/VANET; Healthcare/IoMT,blockchain_assisted; consortium_private_chain; multi_chain_cross_chain; PKI_CA; ECC,include_primary,Ledger-mediated trust,ledger-present; multi-ledger
P120,60,A Lightweight Authentication Method for Industrial Internet of Things Based on Blockchain and Chebyshev Chaotic Maps,IIoT; IoT_general; IoV_VANET; edge_fog_cloud,IIoT; IoT; IoV/VANET; Edge/Fog/Cloud,blockchain_assisted; smart_contract; PKI_CA; certificateless_certificate_free; ECC; bilinear_pairing; zero_knowledge,include_primary,Ledger-mediated trust,ledger-present
P167,61,BEPHAP A Blockchain-based Efficient Privacy-Preserving Handover Authentication Protocol with key agreement for Internet of Vehicles,IoV_VANET,IoV/VANET,blockchain_assisted; hash_MAC; group_ring_signature; chameleon_hash,include_primary,Ledger-mediated trust,ledger-present; privacy/anonymity-layer
P172,62,Blockchain-Based Certificate-Free Cross-Domain Authentication Mechanism for Industrial Internet,IoT_general; edge_fog_cloud,IoT,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA; certificateless_certificate_free; bilinear_pairing; hash_MAC,include_primary,Ledger-mediated trust,ledger-present
P183,63,Cross-domain identity authentication scheme based on blockchain and PKI system,IoT_general; IoV_VANET; smart_city; digital_twin,IoT; IoV/VANET; Smart city; Digital twin,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA,include_primary,Ledger-mediated trust,ledger-present
P213,64,Optimizing Scalable Storage for Blockchain-Based IoT Cross-Domain Authentication,IoT_general; IoV_VANET; UAV_FANET_IoD; smart_city,IoT; IoV/VANET; UAV/FANET/IoD; Smart city,blockchain_assisted; consortium_private_chain; PKI_CA,include_primary,Ledger-mediated trust,ledger-present
P222,65,SE-CAS Secure and Efficient Cross-Domain Authentication Scheme Based on Blockchain for Space TT&C Networks,IoT_general; UAV_FANET_IoD,IoT; UAV/FANET/IoD,blockchain_assisted; PKI_CA; ECC; hash_MAC; group_ring_signature,include_primary,Ledger-mediated trust,ledger-present; privacy/anonymity-layer
P125,66,Split-Chain-Based Efficient Blockchain-Assisted Cross-Domain Authentication for IoT,IoT_general,IoT,blockchain_assisted; consortium_private_chain; PKI_CA,include_primary,Ledger-mediated trust,ledger-present; multi-ledger
P221,67,Scalable Storage Optimization for Blockchain-Based Cross-Domain Authentication in IoT,IoT_general; smart_city; edge_fog_cloud,IoT; Smart city,blockchain_assisted; consortium_private_chain; PKI_CA,include_primary,Ledger-mediated trust,ledger-present
P187,68,Distributed Cross-Domain Anonymous Authentication Scheme in Internet of Things,IIoT; IoT_general; IoV_VANET; IoMT_healthcare; edge_fog_cloud,IIoT; IoT; IoV/VANET; Edge/Fog/Cloud; Healthcare/IoMT,blockchain_assisted; smart_contract; PKI_CA; certificateless_certificate_free; ECC; bilinear_pairing; zero_knowledge,include_primary,Other/classical-general,no-ledger; distributed-threshold; privacy/anonymity-layer
P124,69,Research on an Efficient Cross-Domain Authentication Scheme that is Based on Blockchain and Edge Computing,IoT_general; edge_fog_cloud,IoT; Edge/Fog/Cloud,blockchain_assisted; PKI_CA; certificateless_certificate_free; ECC; bilinear_pairing; hash_MAC,include_primary,Certificateless split-key,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P175,70,Blockchain-based lightweight trusted data interaction scheme for cross-domain IIoT,IIoT; IoT_general,IIoT; IoT,blockchain_assisted; smart_contract; PKI_CA; hash_MAC; federated_learning,include_primary,Ledger-mediated trust,ledger-present; edge/fog-mediated
P174,71,Blockchain-Based Lightweight Message Authentication for Edge-Assisted Cross-Domain Industrial Internet of Things,IIoT; IoT_general; IoMT_healthcare; edge_fog_cloud,IIoT; IoT; Edge/Fog/Cloud; Healthcare/IoMT,blockchain_assisted; consortium_private_chain; ECC; group_ring_signature,include_primary,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P133,72,A Blockchain-Based Mutual Authentication Scheme for Collaborative Edge Computing,IoT_general; edge_fog_cloud,IoT; Edge/Fog/Cloud,blockchain_assisted; smart_contract; PKI_CA; certificateless_certificate_free; ECC; group_ring_signature,include_primary,Certificateless split-key,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P109,73,A Lightweight Group Authentication Framework for Cross-Domain Internet of Things,IIoT; IoT_general; IoV_VANET; UAV_FANET_IoD; IoMT_healthcare; edge_fog_cloud,IIoT; IoT; IoV/VANET; UAV/FANET/IoD; Edge/Fog/Cloud; Healthcare/IoMT,blockchain_assisted; consortium_private_chain; smart_contract; bilinear_pairing; hash_MAC,include_primary,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P118,74,Efficient Blockchain-Based Mutual Authentication and Session Key Agreement for Cross-Domain IIoT,IIoT; IoT_general; UAV_FANET_IoD; edge_fog_cloud,IIoT; IoT; UAV/FANET/IoD; Edge/Fog/Cloud,blockchain_assisted; PKI_CA; ECC,include_primary,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P195,75,Efficient hybrid centralized and blockchain-based authentication architecture for heterogeneous IoT systems,IoT_general; IoMT_healthcare; smart_city,IoT; Edge/Fog/Cloud; Healthcare/IoMT; Smart city,blockchain_assisted; PKI_CA; ECC,borderline_review_needed,Ledger-mediated trust,ledger-present; edge/fog-mediated
P166,76,BCPPAS Blockchain-Based Cross-Domain Identity Authentication Scheme for IoT with Privacy Protection,IoT_general; IoV_VANET; UAV_FANET_IoD; IoMT_healthcare; edge_fog_cloud,IoT; IoV/VANET; UAV/FANET/IoD; Healthcare/IoMT,blockchain_assisted; PKI_CA; certificateless_certificate_free; ECC; bilinear_pairing,include_primary,Certificateless split-key,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P162,77,BCAE A Blockchain-Based Cross Domain Authentication Scheme for Edge Computing,IoT_general; IoMT_healthcare; smart_grid_energy; edge_fog_cloud,IoT; Edge/Fog/Cloud; Healthcare/IoMT; Smart grid/energy,blockchain_assisted; PKI_CA; certificateless_certificate_free; ECC; bilinear_pairing,include_primary,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P179,78,BTAA Blockchain and TEE-Assisted Authentication for IoT Systems,IoT_general; edge_fog_cloud,IoT,blockchain_assisted; smart_contract; PKI_CA; bilinear_pairing; hash_MAC; TEE,include_primary,Hardware-/device-rooted,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P131,79,A Blockchain-Based Cross-Domain Data Transmission Scheme for Industrial Internet of Things With Edge-Cloud Computing,IIoT; IoT_general; IoV_VANET; edge_fog_cloud,IIoT; IoT; IoV/VANET; Edge/Fog/Cloud,blockchain_assisted; smart_contract; ECC; bilinear_pairing; dynamic_accumulator,include_primary,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P135,80,A Certificateless Anonymous Cross-Domain Authentication Scheme Assisted by Blockchain for Internet of Vehicles,IoT_general; IoV_VANET,IoT; IoV/VANET; Edge/Fog/Cloud,blockchain_assisted; PKI_CA; certificateless_certificate_free; bilinear_pairing,include_primary,Certificateless split-key,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P190,81,Dynamic Authentication and Granularized Authorization With Cross-Domain Zero Trust Architecture in Large-Scale IoT Networks,IIoT; IoT_general; smart_city; edge_fog_cloud,IIoT; IoT; Smart city,blockchain_assisted; PKI_CA; ECC; federated_learning; zero_trust,include_primary,Other/classical-general,ledger-present; edge/fog-mediated
P150,82,A New Identity Authentication and Key Agreement Protocol Based on Multi-Layer Blockchain in Edge Computing,IIoT; IoT_general; IoMT_healthcare; smart_grid_energy; smart_city; edge_fog_cloud,IIoT; IoT; Edge/Fog/Cloud; Healthcare/IoMT; Smart grid/energy; Smart city,blockchain_assisted; smart_contract; PKI_CA; ECC; group_ring_signature; dynamic_accumulator,include_primary,Ledger-mediated trust,ledger-present; multi-ledger; edge/fog-mediated; privacy/anonymity-layer
P211,83,LRCDA A Lightweight and Reusable Cross-Domain Authentication Scheme for Industrial IoT Based on Distributed Architecture,IIoT; IoT_general; IoV_VANET; edge_fog_cloud,IIoT; IoT; IoV/VANET; Edge/Fog/Cloud,blockchain_assisted; smart_contract; PKI_CA; ECC; bilinear_pairing; hash_MAC; PUF,include_primary,Other/classical-general,edge/fog-mediated; no-ledger
P192,84,ECroA Efficient Cross-Domain Authentication in Dynamic Digital Twins of Wireless Industrial IoT,IIoT; IoT_general; edge_fog_cloud; digital_twin,IIoT; IoT; Edge/Fog/Cloud; Digital twin,blockchain_assisted; bilinear_pairing; identity_based_cryptography,include_primary,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P137,85,A Cross-domain Authentication Scheme Based on Blockchain and Edge Computing,IIoT; IoT_general; UAV_FANET_IoD; edge_fog_cloud,IIoT; IoT; UAV/FANET/IoD; Edge/Fog/Cloud,blockchain_assisted; smart_contract; multi_chain_cross_chain; certificateless_certificate_free; ECC; bilinear_pairing; hash_MAC; dynamic_accumulator; federated_learning,include_primary,Ledger-mediated trust,ledger-present; multi-ledger; edge/fog-mediated; privacy/anonymity-layer
P142,86,A highly reliable cross-domain identity authentication protocol based on blockchain in edge computing environment,IoT_general; UAV_FANET_IoD; IoMT_healthcare; smart_grid_energy; edge_fog_cloud,IoT; UAV/FANET/IoD; Edge/Fog/Cloud; Healthcare/IoMT; Smart grid/energy,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA; certificateless_certificate_free; ECC; bilinear_pairing,include_primary,Ledger-mediated trust,ledger-present; edge/fog-mediated
P208,87,Lightweight Cross-Domain Authentication Scheme for Securing Wireless IoT Devices Using Backscatter Communication,IoT_general; UAV_FANET_IoD; IoMT_healthcare,IoT; UAV/FANET/IoD; Healthcare/IoMT,PKI_CA; federated_learning,include_primary,Other/classical-general,edge/fog-mediated; privacy/anonymity-layer; no-ledger
P210,88,LightweightAttribute-BasedCross-Domain AuthenticationforPowerIoT withEdgeComputingIntegration,IIoT; IoT_general; smart_grid_energy; edge_fog_cloud,IIoT; IoT; Edge/Fog/Cloud; Smart grid/energy,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA; ECC; bilinear_pairing,include_primary,Other/classical-general,ledger-present; edge/fog-mediated
P217,89,Research on Secure Authentication and Access Control for Device Access Based on Distributed Architecture,IoT_general; UAV_FANET_IoD; edge_fog_cloud,IoT; UAV/FANET/IoD; Edge/Fog/Cloud,blockchain_assisted; consortium_private_chain; smart_contract; zero_knowledge; TEE,include_primary,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P196,90,Efficient Provably Secure Authentication Protocol for Multidomain IIoT Using a Combined Off-Chain and On-Chain Approach,IIoT; IoT_general; UAV_FANET_IoD,IIoT; IoT; UAV/FANET/IoD,blockchain_assisted; ECC; hash_MAC; group_ring_signature; dynamic_accumulator,include_primary,Ledger-mediated trust,ledger-present; privacy/anonymity-layer
P117,91,Chebyshev Polynomial and Private Blockchain Based Cross-Domain Authentication Protocol for IoD Networks,IoT_general; IoV_VANET; UAV_FANET_IoD,IoT; IoV/VANET; UAV/FANET/IoD,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA; bilinear_pairing; hash_MAC; PUF,include_primary,Hardware-/device-rooted,ledger-present; privacy/anonymity-layer
P165,92,BCPA A Blockchain-Based Cross-Domain Privacy-Preserving Authentication Scheme in Internet of Things Environments,IoT_general; IoV_VANET; edge_fog_cloud,IoT; IoV/VANET,blockchain_assisted; smart_contract; PKI_CA; ECC; bilinear_pairing; PUF,include_primary,Hardware-/device-rooted,ledger-present; privacy/anonymity-layer
P188,93,DKGAuth Blockchain-Assisted Distributed Key Generation and Authentication for Cross-Domain Intelligent IoT,IIoT; IoT_general; IoV_VANET; edge_fog_cloud,IIoT; IoT; IoV/VANET,blockchain_assisted; smart_contract; PKI_CA; ECC; hash_MAC; post_quantum_lattice,include_primary,Ledger-mediated trust,ledger-present
P123,94,Blockchain and PUF-based secure key establishment protocol for cross- domain digital twins in industrial Internet of Things architecture,IIoT; IoT_general; IoMT_healthcare; digital_twin,IIoT; IoT; Healthcare/IoMT; Digital twin,blockchain_assisted; smart_contract; hierarchical_master_slave_chain; PUF; dynamic_accumulator,include_primary,Hardware-/device-rooted,ledger-present; multi-ledger
P151,95,A Post-Quantum Secure Federated Learning Framework for Cross-Domain V2G Authentication,IoT_general; IoV_VANET; smart_grid_energy; edge_fog_cloud,IoT; IoV/VANET; Edge/Fog/Cloud; Smart grid/energy,blockchain_assisted; consortium_private_chain; ECC; bilinear_pairing; PUF; zero_knowledge; federated_learning; post_quantum_lattice,include_primary,Hardware-/device-rooted,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P206,96,LCH-AKA Identity Authentication and Key Agreement Scheme of Lightweight Cross-Domain Heterogeneous Network Based on PUF,IIoT; IoT_general; IoV_VANET; UAV_FANET_IoD; edge_fog_cloud,IIoT; IoT; IoV/VANET; UAV/FANET/IoD; Edge/Fog/Cloud,blockchain_assisted; consortium_private_chain; ECC; hash_MAC; PUF,include_primary,Hardware-/device-rooted,ledger-present
P204,97,LBCM A Scalable and DDoS-Resistant Cross-Domain Authentication Protocol for IIoT Using Chaotic Maps and Merkle Tree,IIoT; IoT_general; edge_fog_cloud; digital_twin,IIoT; IoT; Digital twin,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA; PUF; zero_knowledge; TEE; zero_trust,include_primary,Other/classical-general,ledger-present
P126,98,CD-AKA-IoV A Provably Secure Cross-Domain Authentication and Key Agreement Protocol for Internet of Vehicle,IoT_general; IoV_VANET; smart_city,IoT; IoV/VANET; Smart city,blockchain_assisted; certificateless_certificate_free; PUF; TEE,include_primary,Hardware-/device-rooted,ledger-present
P205,99,LCDMA Lightweight Cross-Domain Mutual Identity Authentication Scheme for Internet of Things,IoT_general; IoV_VANET; IoMT_healthcare; smart_grid_energy; smart_city,IoT; IoV/VANET; Edge/Fog/Cloud; Healthcare/IoMT; Smart grid/energy; Smart city,blockchain_assisted; ECC; bilinear_pairing; hash_MAC; PUF,include_primary,Other/classical-general,ledger-present; privacy/anonymity-layer
P207,100,Lightweight Blockchain-Enhanced Mutual Authentication Protocol for UAVs,IoT_general; IoV_VANET; UAV_FANET_IoD; edge_fog_cloud,IoT; IoV/VANET; UAV/FANET/IoD; Edge/Fog/Cloud,blockchain_assisted; smart_contract; ECC; bilinear_pairing; hash_MAC,borderline_review_needed,Ledger-mediated trust,ledger-present; privacy/anonymity-layer
P158,101,An anonymous and efficient certificateless signature scheme based on blockchain in NDN-IoT environments,IoT_general; smart_city; edge_fog_cloud; NDN,IoT; Smart city; NDN,blockchain_assisted; smart_contract; certificateless_certificate_free; ECC; bilinear_pairing; identity_based_cryptography,borderline_review_needed,Certificateless split-key,ledger-present; privacy/anonymity-layer
P180,102,CABC A Cross-Domain Authentication Method Combining Blockchain with Certificateless Signature for IIoT☆,IIoT; IoT_general; UAV_FANET_IoD; IoMT_healthcare,IIoT; IoT; UAV/FANET/IoD; Healthcare/IoMT,blockchain_assisted; smart_contract; PKI_CA; certificateless_certificate_free; ECC; bilinear_pairing,include_primary,Certificateless split-key,ledger-present
P122,103,LCC-AKA: Lightweight Certificateless Cross-Domain Authentication Key Agreement Protocol for IoT Devices,IoT_general; IoV_VANET; IoMT_healthcare; smart_grid_energy,IoT; IoV/VANET; Healthcare/IoMT; Smart grid/energy,certificateless_certificate_free; ECC; bilinear_pairing; hash_MAC,include_primary,Certificateless split-key,privacy/anonymity-layer; no-ledger
P147,104,A Lightweight Cross-Domain Direct Identity Authentication Protocol for VANETs,IIoT; IoT_general; IoV_VANET; IoMT_healthcare,IIoT; IoT; IoV/VANET; Healthcare/IoMT,blockchain_assisted; PKI_CA; certificateless_certificate_free; bilinear_pairing; group_ring_signature; zero_knowledge; identity_based_cryptography,include_primary,Certificateless split-key,ledger-present; privacy/anonymity-layer
P171,105,Blockchain-Based C ertificateless Cross-Domain Authentication Scheme in the Industrial Internet of Things,IIoT; IoT_general; IoV_VANET; edge_fog_cloud,IIoT; IoT; IoV/VANET; Edge/Fog/Cloud,blockchain_assisted; PKI_CA; certificateless_certificate_free; ECC; bilinear_pairing,include_primary,Certificateless split-key,ledger-present; privacy/anonymity-layer
P128,106,A Blockchain-Assisted Cross-Domain Authentication and Key Negotiation Scheme in IIoT,IIoT; IoT_general; edge_fog_cloud,IIoT; IoT,blockchain_assisted; PKI_CA; certificateless_certificate_free; ECC,include_primary,Ledger-mediated trust,ledger-present
P199,107,Enhance IoT Security A Blo ckchain and Chameleon Hashing-Based Scheme for Authentication,IIoT; IoT_general; IoV_VANET; edge_fog_cloud,IIoT; IoT; IoV/VANET; Edge/Fog/Cloud,blockchain_assisted; PKI_CA; certificateless_certificate_free; ECC; hash_MAC; group_ring_signature; chameleon_hash,include_primary,Certificateless split-key,ledger-present; privacy/anonymity-layer
P105,108,AAMB a cross-domain identity authentication scheme based on multilayered blockchains in IoMT,IoT_general; IoV_VANET; IoMT_healthcare,IoT; IoV/VANET; Edge/Fog/Cloud; Healthcare/IoMT,blockchain_assisted; consortium_private_chain; smart_contract; multi_chain_cross_chain; PKI_CA; certificateless_certificate_free; ECC; bilinear_pairing; zero_knowledge; dynamic_accumulator,include_primary,Ledger-mediated trust,ledger-present; multi-ledger; privacy/anonymity-layer
P146,109,A Lightweight Blockchain-Based Cross-Domain Authentication and Data Sharing Scheme for the Industrial Internet of Things,IIoT; IoT_general; edge_fog_cloud,IIoT; IoT; Edge/Fog/Cloud,blockchain_assisted; PUF,include_primary,Ledger-mediated trust,ledger-present; privacy/anonymity-layer
