paper_id,title,route,primary_denominator_contribution
P133,A Blockchain-Based Mutual Authentication Scheme for Collaborative Edge Computing,WoS,1
P135,A Certificateless Anonymous Cross-Domain Authentication Scheme Assisted by Blockchain for Internet of Vehicles,WoS,1
P136,A Certificateless-Based Authentication and Key Agreement Scheme for IIoT Cross-Domain,WoS,1
P137,A Cross-domain Authentication Scheme Based on Blockchain and Edge Computing,WoS,1
P140,A distributed identity management and cross-domain authentication scheme for the Internet of Things,WoS,1
P141,A Framework for Blockchain and Fogging-based Efficient Authentication in Internet of Things,Scopus,0
P142,A highly reliable cross-domain identity authentication protocol based on blockchain in edge computing environment,Scopus,1
P143,A Lightweight and Robust Cross-Domain Authentication Scheme Based on Master-Slave Blockchain,Scopus,1
P145,A Lightweight Authentication Scheme Based on Consortium Blockchain for Cross-Domain IoT,WoS,1
P147,A Lightweight Cross-Domain Direct Identity Authentication Protocol for VANETs,WoS,1
P148,A Multi-Blockchain Based Anonymous Cross-Domain Authentication Scheme for Industrial Internet of Things,WoS,1
P149,A Multi-Blockchain-Based Cross-Domain Authentication and Authorization Scheme for Energy Internet,Scopus,1
P150,A New Identity Authentication and Key Agreement Protocol Based on Multi-Layer Blockchain in Edge Computing,WoS,1
P151,A Post-Quantum Secure Federated Learning Framework for Cross-Domain V2G Authentication,WoS,1
P152,A Privacy-Aware Cross-Domain Device Authentication Scheme for IIoT Based on Blockchain,Scopus,1
P153,A Privacy-Preserving Cross-Domain Authentication and Key Agreement Scheme via Multiblockchains for Smart Cities,WoS,1
P155,A Traceable Cross-Domain Anonymous Authentication Scheme in Industrial Internet of Things,WoS,1
P156,A Trusted IoT Communication Architecture Based on Blockchain and Named Data Network,Scopus,1
P158,An anonymous and efficient certificateless signature scheme based on blockchain in NDN-IoT environments,WoS,1
P159,An Efficient Consensus Algorithm for Blockchain-Based Cross-Domain Authentication in Bandwidth-Constrained Wide-Area IoT Networks,WoS,1
P161,BAT-CA: A Blockchain-Based Anonymous and Traceable Cross-Domain Authentication Approach for Interner of Things,WoS,1
P162,BCAE: A Blockchain-Based Cross Domain Authentication Scheme for Edge Computing,WoS,1
P164,BCEDAS: A Blockchain and Chameleon Hash-Based Efficient Decentralized Authentication Scheme for Internet of Vehicles With Multi-Scenario,WoS,1
P165,BCPA: A Blockchain-Based Cross-Domain Privacy-Preserving Authentication Scheme in Internet of Things Environments,WoS,1
P166,BCPPAS : Blockchain-Based Cross-Domain Identity Authentication Scheme for IoT with Privacy Protection,WoS,1
P168,BLECA: A Blockchain-Based Lightweight and Efficient Cross-Domain Authentication Scheme for Smart Parks,WoS,1
P171,Blockchain-Based Certificateless Cross-Domain Authentication Scheme in the Industrial Internet of Things,WoS,1
P173,Blockchain-Based Cross-Domain Authentication for Intelligent 5G-Enabled Internet of Drones,WoS,1
P174,Blockchain-Based Lightweight Message Authentication for Edge-Assisted Cross-Domain Industrial Internet of Things,WoS,1
P175,Blockchain-based lightweight trusted data interaction scheme for cross-domain IIoT,WoS,1
P176,Blockchain-Empowered Decentralized Horizontal Federated Learning for 5G-Enabled UAVs,WoS,1
P178,BP-AKAA: Blockchain-enforced Privacy-preserving Authentication and Key Agreement and Access Control for IIoT,Scopus,1
P179,BTAA: Blockchain and TEE-Assisted Authentication for IoT Systems,WoS,1
P180,CABC: A Cross-Domain Authentication Method Combining Blockchain with Certificateless Signature for IIoT,WoS,1
P181,CABR: a cross-domain authentication method combines blockchain and ring signatures,WoS,1
P182,Conditional privacy-preserving message authentication scheme for cross-domain Industrial Internet of Things,WoS,1
P184,Cross-Domain Identity Authentication Scheme for the IIoT Identification Resolution System Based on Self-Sovereign Identity,WoS,1
P185,Cross-domain secure communication scheme in industrial internet of things based on consortium blockchain,WoS,1
P186,DCAGS-IoT: Dynamic Cross-Domain Authentication Scheme Using Group Signature in IoT,WoS,1
P187,Distributed Cross-Domain Anonymous Authentication Scheme in Internet of Things,WoS,1
P188,DKGAuth: Blockchain-Assisted Distributed Key Generation and Authentication for Cross-Domain Intelligent IoT,WoS,1
P189,DPCZK: Enhancing Device Privacy Through Certificate-Free Encryption and Zero-Knowledge Proof in Multidomain IoT Environments,WoS,1
P190,Dynamic Authentication and Granularized Authorization With a Cross-Domain Zero Trust Architecture in Large-Scale IoT Networks,WoS,1
P191,Dynamic Time-Bound Anonymous Complete Cross-Domain Authentication Scheme for IoT,WoS,1
P192,ECroA: Efficient Cross-Domain Authentication in Dynamic Digital Twins of Wireless Industrial IoT,WoS,1
P193,Efficient and Anonymous Cross-Domain Authentication for IIoT Based on Blockchain,WoS,1
P194,Efficient and Privacy-Preserving Blockchain-Based Multifactor Device Authentication Protocol for Cross-Domain IIoT,WoS,1
P195,Efficient hybrid centralized and blockchain-based authentication architecture for heterogeneous IoT systems,WoS,1
P196,Efficient Provably Secure Authentication Protocol for Multidomain IIoT Using a Combined Off-Chain and On-Chain Approach,WoS,1
P197,Efficient Revocable Cross-Domain Anonymous Authentication Scheme for IIoT,WoS,1
P198,"Endogenous Security Formal Definition, Innovation Mechanisms, and Experiment Research in Industrial Internet",WoS,1
P199,Enhance IoT Security: A Blockchain and Chameleon Hashing-Based Scheme for Authentication,WoS,1
P200,Federated Hierarchical Trust-Based Interaction Scheme for Cross-Domain Industrial IoT,WoS,1
P201,Hybrid blockchain-based many-to-many cross-domain authentication scheme for smart agriculture IoT networks,WoS,1
P202,Hybrid-blockchain-based cross-domain authentication for internet of marine things,WoS,1
P203,Lattice-Based Certificateless Proxy Re-Signature for IoT: A Computation-and-Storage Optimized Post-Quantum Scheme,WoS,1
P204,LBCM: A Scalable and DDoS-Resistant Cross-Domain Authentication Protocol for IIoT Using Chaotic Maps and Merkle Tree,WoS,1
P206,LCH-AKA: Identity Authentication and Key Agreement Scheme of Lightweight Cross-Domain Heterogeneous Network Based on PUF,WoS,1
P209,Lightweight Device Fingerprint Construction and Edge-Side Real-Time Identification Technology for Dynamic Power Communication Networks,Scopus,0
P210,Lightweight Attribute-Based Cross-Domain Authentication for Power IoT with Edge Computing Integration,Scopus,1
P211,LRCDA: A Lightweight and Reusable Cross-Domain Authentication Scheme for Industrial IoT Based on Distributed Architecture,WoS,1
P213,Optimizing Scalable Storage for Blockchain-Based IoT Cross-Domain Authentication,Scopus,1
P214,PECD-DSIIoT: Privacy-enhanced cross-domain data sharing scheme for IIoT,WoS,1
P215,Post-Quantum Traceable Anonymous Cross-Domain Authentication for Blockchain-Based IoT,WoS,1
P216,PQ-BCDA: A post-quantum blockchain based cross-domain authentication scheme for Internet of Things,WoS,1
P217,Research on Secure Authentication and Access Control for Device Access Based on Distributed Architecture,Scopus,1
P218,Research on Unified Access Technology of Multi-Service and Multi-Scenario Power IoT Terminals,Scopus,0
P220,S3Cross: Blockchain-Based Cross-Domain Authentication With Self-Sovereign and Supervised Identity Management,WoS,1
P221,Scalable Storage Optimization for Blockchain-Based Cross-Domain Authentication in IoT,WoS,1
P223,Secure Cross-Domain Authentication and Data Sharing Scheme for IIoT in Cloud-Fog Automation Architecture,WoS,1
P224,Toward Cross-Domain Dynamic Accumulator Authentication Based on Blockchain in Internet of Things,WoS,1
P225,TrustPIoT: Blockchain-based Anonymous Authentication for Cross-Domain Intelligent PIoT,Scopus,1
P227,"ZebraCPA: Decentralized, Postquantum Conditional Privacy-Preserving Authentication for VANETs via Traceable ZK Ring Signatures",WoS,1
P098,"A Survey on Collaboration Computing for Industrial Internet of Things: Digital Twin, Federated Learning, and Swarm Learning",WoS,0
C012,A Systematic Literature Review on the Implementation and Challenges of Zero Trust Architecture Across Domains,WoS,0
P106,Survey on Blockchain Enabled Authentication for Industrial Internet of Things,WoS,0
P107,Systematic literature review of Blockchain-enhanced privacy in fog computing networks,WoS,0
P108,去中心化公钥基础设施综述,Scopus,0
P114,Blockchain-enhanced Zero Knowledge Proof-based Privacy-preserving Mutual Authentication for IoT Networks,supplementary_only,0
P126,CD-AKA-IoV: A Provably Secure Cross-Domain Authentication and Key Agreement Protocol for Internet of Vehicle,supplementary_only,1
P134,A Certificate Authority Domain-based Cross-domain Authentication Scheme for Virtual Enterprise Using Identity Based Encryption,supplementary_only,1
P138,A Cross-Domain Authentication Scheme Based on Cooperative Blockchains Functioning With Revocation for Medical Consortiums,supplementary_only,1
P139,A Distributed Authentication Scheme Based on Smart Contract for Roaming Service in Mobile Vehicular Networks,supplementary_only,1
P146,A Lightweight Blockchain-Based Cross-Domain Authentication and Data Sharing Scheme for the Industrial Internet of Things,supplementary_only,1
P154,A secure and trustworthy blockchain-assisted edge computing architecture for industrial internet of things,supplementary_only,0
P160,Anonymous and Traceable: A Dynamic Group Signature-Based Cross-Domain Authentication for IIoT,supplementary_only,1
P163,BCDAP-DGS: Dynamic Group Signature and Batch Cross-Domain Authentication Protocol for Intelligent Transportation,supplementary_only,1
P167,BEPHAP: A Blockchain-based Efficient Privacy-Preserving Handover Authentication Protocol with key agreement for Internet of Vehicles,supplementary_only,1
P170,Blockchain-Assisted Transparent Cross-Domain Authorization and Authentication for Smart City,supplementary_only,1
P172,Blockchain-Based Certificate-Free Cross-Domain Authentication Mechanism for Industrial Internet,supplementary_only,1
P177,Blockchain-based cross-domain authentication in a multi-domain Internet of drones environment,supplementary_only,1
P183,Cross-domain identity authentication scheme based on blockchain and PKI system,supplementary_only,1
P205,LCDMA: Lightweight Cross-Domain Mutual Identity Authentication Scheme for Internet of Things,supplementary_only,1
P207,Lightweight Blockchain-Enhanced Mutual Authentication Protocol for UAVs,supplementary_only,0
P208,Lightweight Cross-Domain Authentication Scheme for Securing Wireless IoT Devices Using Backscatter Communication,supplementary_only,1
P219,Revocable Certificateless Cross-Domain Authentication Scheme Based on Primary-Secondary Blockchain,supplementary_only,1
P222,SE-CAS: Secure and Efficient Cross-Domain Authentication Scheme Based on Blockchain for Space TT&C Networks,supplementary_only,1
P226,XAuth: Efficient Privacy-Preserving Cross-Domain Authentication,supplementary_only,1
P094,A survey on Identity and Access Management for future IoT services,supplementary_only,0
C013,"A Systematic Review for Evaluating IoT Security: A Focus on Authentication, Protocols and Enabling Technologies",supplementary_only,0
P096,"A Comprehensive Survey on Security and Privacy Challenges in Internet of Medical Things Applications: Deep Learning and Machine Learning Solutions, Obstacles, and Future Directions",supplementary_only,0
P097,A Review of Security Issues When Integrating IoT With Cloud Computing and Blockchain,supplementary_only,0
P099,A Survey on Key Agreement and Authentication Protocol for Internet of Things Application,supplementary_only,0
P101,Blockchain Technologies for the Internet of Things: Research Issues and Challenges,supplementary_only,0
P103,Guidelines for snowballing in systematic literature studies and a replication in software engineering,supplementary_only,0
P104,Internet of Things in Industries: A Survey,supplementary_only,0
P144,A Lightweight Authentication and Key Agreement Protocol Design for FANET,supplementary_only,0
P157,A Dynamic and Cross-domain Authentication Asymmetric Group Key Agreement in Telemedicine Application,supplementary_only,0
P169,Blockchain-Assisted Secure Device Authentication for Cross-Domain Industrial IoT,supplementary_only,0
P212,Master-slave chain based trusted cross-domain authentication mechanism in IoT,supplementary_only,0
